TIME,TARGET_BIN,DETECTED_BIN
19:26:05,P,
19:26:05,P,
19:26:05,P,
19:26:16,R,R
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
19:26:16,R,
